"Property_ID","host_since","host_response_time","host_is_superhost","host_listings_count","host_identity_verified","neighbourhood_cleansed","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","price","minimum_nights","maximum_nights","availability_30","number_of_reviews","number_of_reviews_l30d","review_scores_rating","instant_bookable","reviews_per_month"
12124,"12/12/2020","within an hour","f",16,"t","Blacktown",-33.74818175,150.804384,"Private room",2,1,1,"$59.00",1,365,15,2,1,5,"f",0.18
4453,"25/08/2015","within an hour","f",15,"t","Leichhardt",-33.88739,151.15809,"Entire home/apt",2,1,1,"$125.00",1,365,29,33,0,4.24,"f",0.58
9239,"6/06/2016","within an hour","t",1,"t","Sydney",-33.89577,151.18651,"Entire home/apt",2,1,1,"$136.00",3,365,6,76,1,4.86,"f",3.42
5491,"10/05/2018","within an hour","t",1,"t","Ku-Ring-Gai",-33.73265,151.16671,"Entire home/apt",4,2,2,"$205.00",28,182,0,6,0,4.83,"f",0.13
11707,"14/05/2013","within an hour","f",2,"f","Woollahra",-33.88380763,151.2317297,"Entire home/apt",5,2.5,3,"$268.00",4,365,3,1,0,5,"f",0.67
9712,"24/01/2016","N/A","f",1,"t","Randwick",-33.92185,151.25181,"Entire home/apt",4,NA,2,"",2,365,0,10,0,4.9,"f",0.47
170,"12/12/2014","N/A","f",1,"f","Blacktown",-33.75606,150.95251,"Private room",2,2,1,"$150.00",90,1125,29,0,0,NA,"f",NA
13803,"8/09/2014","within an hour","t",3,"t","Sutherland Shire",-34.0843583,151.1489535,"Entire home/apt",6,2,3,"$360.00",2,365,29,5,0,4.6,"f",0.84
2901,"23/05/2012","within a few hours","t",117,"t","Woollahra",-33.87300491,151.2468109,"Entire home/apt",6,2,3,"$609.00",30,89,20,6,0,5,"f",0.21
9391,"24/10/2011","within an hour","t",75,"t","Manly",-33.80861986,151.2548159,"Entire home/apt",5,NA,3,"",4,365,0,1,0,5,"f",0.06
11987,"9/08/2022","within a few hours","f",40,"t","Strathfield",-33.86665,151.08826,"Entire home/apt",4,1,1,"$169.00",1,365,27,1,0,5,"f",0.12
10406,"17/11/2023","within a few hours","f",40,"t","Sydney",-33.8835833,151.1973108,"Entire home/apt",2,NA,1,"",6,365,0,3,0,4,"f",0.59
10524,"19/11/2023","a few days or more","f",1,"t","Sydney",-33.8848234,151.1958724,"Entire home/apt",4,1,2,"$250.00",90,365,0,8,0,4.75,"f",0.45
5897,"4/04/2016","within an hour","f",1,"t","Sutherland Shire",-34.05072,151.14704,"Entire home/apt",4,1,2,"$175.00",2,365,18,25,1,4.96,"f",0.6
18069,"14/10/2024","a few days or more","f",18,"t","Auburn",-33.85216,151.06103,"Entire home/apt",4,2,2,"$179.00",1,365,8,0,0,NA,"f",NA
10600,"7/04/2017","within a few hours","",26,"t","North Sydney",-33.8227873,151.195778,"Entire home/apt",4,2,2,"$274.00",3,365,0,0,0,NA,"f",NA
4116,"10/04/2019","within an hour","t",3,"t","Hornsby",-33.71731,151.0825,"Private room",2,1,1,"$61.00",1,1125,5,67,1,4.78,"f",1.02
12654,"29/03/2024","within an hour","t",22,"t","Manly",-33.7906186,151.283661,"Private room",5,1,1,"$234.00",1,365,0,2,0,5,"t",0.2
560,"28/05/2015","within a day","f",19,"t","Marrickville",-33.89525,151.16934,"Entire home/apt",4,1,1,"$175.00",2,21,23,80,1,4.75,"f",0.69
15143,"23/01/2021","within an hour","f",2,"t","Pittwater",-33.6504447,151.3041571,"Entire home/apt",4,1,2,"$154.00",1,365,25,11,2,4.55,"f",1.99
3189,"18/05/2014","within a few hours","f",1,"t","Randwick",-33.92825,151.2376,"Entire home/apt",3,1,3,"$102.00",28,1125,9,27,0,4.7,"f",0.39
9100,"19/02/2020","within an hour","f",22,"t","Canterbury",-33.90696,151.1331,"Entire home/apt",4,2,2,"$294.00",2,1125,29,0,0,NA,"f",NA
18109,"7/03/2017","within an hour","f",2,"t","Sydney",-33.90849231,151.2028855,"Private room",2,1,1,"$137.00",1,365,16,0,0,NA,"t",NA
5450,"29/08/2012","N/A","f",1,"t","Warringah",-33.78103,151.28592,"Entire home/apt",2,NA,1,"",2,1125,0,7,0,4.71,"f",0.17
3209,"15/09/2016","within an hour","t",2,"t","Sydney",-33.87264,151.19612,"Entire home/apt",7,2.5,3,"$440.00",21,1125,7,77,0,4.87,"t",0.99
4398,"2/01/2015","within an hour","t",1,"t","Canada Bay",-33.82745032,151.0866619,"Entire home/apt",4,NA,1,"",2,120,0,105,1,4.92,"f",1.64
1416,"23/08/2012","within an hour","f",1,"t","North Sydney",-33.84538,151.2013,"Entire home/apt",4,1,2,"$271.00",3,1125,0,13,4,4.69,"t",3.45
17617,"15/12/2023","within an hour","f",14,"t","Sydney",-33.9024096,151.2110788,"Entire home/apt",2,1,1,"$121.00",5,365,28,0,0,NA,"f",NA
8429,"19/07/2016","within an hour","f",4,"t","Parramatta",-33.8164615,151.0208017,"Entire home/apt",3,1,1,"$145.00",3,28,14,67,0,4.73,"t",2.66
14878,"16/11/2014","N/A","f",1,"t","Randwick",-33.92782,151.24525,"Entire home/apt",8,NA,3,"",7,10,0,0,0,NA,"f",NA
17931,"10/01/2018","N/A","f",1,"t","Sydney",-33.86838685,151.2054588,"Entire home/apt",2,1,1,"$186.00",1,300,21,1,1,5,"t",1
17273,"8/08/2022","within an hour","t",20,"t","The Hills Shire",-33.708515,150.9606217,"Entire home/apt",13,3,6,"$305.00",5,365,13,1,1,4,"t",1
1144,"18/08/2012","N/A","f",1,"t","Leichhardt",-33.86174,151.16469,"Entire home/apt",12,4,4,"$299.00",90,1125,28,0,0,NA,"f",NA
8392,"31/12/2015","within an hour","f",1,"t","Willoughby",-33.80292,151.18507,"Entire home/apt",10,3.5,5,"$1,093.00",3,30,18,4,0,5,"f",0.23
18033,"12/11/2024","within a few hours","f",20,"t","Sydney",-33.91607,151.20797,"Private room",2,1,1,"$80.00",6,365,13,0,0,NA,"f",NA
13886,"25/11/2020","within an hour","f",45,"t","Sydney",-33.8782189,151.1854911,"Entire home/apt",6,3,3,"$322.00",4,365,18,3,0,5,"t",0.63
14602,"16/07/2024","within a few hours","f",49,"t","Sydney",-33.89491,151.20405,"Entire home/apt",4,2,2,"$229.00",2,365,0,3,1,4,"f",0.71
17680,"24/07/2012","within a few hours","t",126,"t","Waverley",-33.8908,151.27462,"Entire home/apt",6,3.5,3,"$3,498.00",1,1125,27,0,0,NA,"f",NA
2122,"6/08/2019","N/A","f",33,"t","Sydney",-33.88451,151.20817,"Entire home/apt",5,1.5,2,"$167.00",2,90,1,317,0,4.84,"f",3.35
9995,"3/08/2015","N/A","f",1,"t","The Hills Shire",-33.55345141,150.9290348,"Private room",2,1,1,"$315.00",1,365,28,0,0,NA,"f",NA
15262,"7/05/2013","N/A","f",1,"t","Marrickville",-33.89237,151.14501,"Private room",2,1,1,"$111.00",2,14,17,2,0,5,"f",0.36
2043,"30/11/2015","within an hour","f",3,"t","Randwick",-33.90361,151.24921,"Private room",1,1.5,1,"$67.00",1,730,4,160,0,4.66,"f",1.77
3211,"29/05/2015","within an hour","f",9,"t","Sydney",-33.8698,151.2256,"Hotel room",4,1,1,"$260.00",1,1125,29,148,2,4.61,"t",1.91
3957,"11/05/2019","N/A","f",1,"t","Manly",-33.79744,151.27644,"Entire home/apt",10,2.5,5,"$695.00",5,35,13,1,0,5,"f",0.04
3223,"15/11/2017","within an hour","f",3,"t","Fairfield",-33.89656,150.9412,"Entire home/apt",7,1,2,"$111.00",1,1125,19,248,2,4.61,"f",3.29
