"Property_ID","host_since","host_response_time","host_is_superhost","host_listings_count","host_identity_verified","neighbourhood_cleansed","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","price","minimum_nights","maximum_nights","availability_30","number_of_reviews","number_of_reviews_l30d","review_scores_rating","instant_bookable","reviews_per_month"
10422,"6/04/2014","N/A","f",1,"t","Pittwater",-33.62072247,151.3372244,"Entire home/apt",4,1,2,"$700.00",90,365,27,7,0,4.86,"f",0.44
8248,"29/09/2017","N/A","f",1,"t","Penrith",-33.7858464,150.6600379,"Private room",4,NA,2,"",90,1125,29,0,0,NA,"f",NA
3520,"6/05/2016","within an hour","f",6,"t","Randwick",-33.91541,151.23599,"Hotel room",1,1,1,"$140.00",1,365,29,143,0,4.54,"t",2.03
7139,"8/05/2017","within an hour","f",1,"t","Willoughby",-33.78937271,151.1762013,"Entire home/apt",2,NA,1,"",2,7,0,42,0,4.76,"f",1.4
6380,"8/12/2017","N/A","f",1,"t","Sydney",-33.89026,151.21273,"Entire home/apt",2,2,1,"$210.00",90,365,22,0,0,NA,"f",NA
9347,"10/07/2013","within an hour","f",244,"t","Randwick",-33.92232011,151.2506508,"Entire home/apt",5,1,3,"$460.00",1,1125,21,6,0,5,"t",0.34
9103,"2/05/2021","within a few hours","f",1,"f","Pittwater",-33.61499791,151.3275837,"Entire home/apt",7,2.5,3,"$900.00",4,14,22,0,0,NA,"f",NA
9346,"29/09/2020","within an hour","f",18,"t","Blacktown",-33.68786077,150.816057,"Entire home/apt",10,2,5,"$288.00",3,365,24,12,0,4.5,"t",0.57
11035,"28/06/2014","within an hour","f",1,"t","Waverley",-33.89453,151.27006,"Entire home/apt",4,1,2,"$183.00",2,365,8,46,1,4.72,"t",2.56
14654,"22/08/2012","within an hour","t",19,"t","North Sydney",-33.83791,151.20119,"Entire home/apt",8,2.5,4,"$567.00",2,365,30,0,0,NA,"f",NA
5992,"5/06/2012","within a few hours","f",1,"t","Waverley",-33.89552,151.24191,"Entire home/apt",4,1.5,2,"$385.00",7,30,23,6,0,4.83,"f",0.27
9298,"21/07/2018","within an hour","t",12,"t","Sydney",-33.87805949,151.2066429,"Entire home/apt",8,2,3,"$433.00",2,365,4,66,3,4.95,"f",3.06
17119,"14/10/2024","a few days or more","f",18,"t","Sutherland Shire",-34.03416,151.07332,"Entire home/apt",4,2,2,"$231.00",1,365,0,0,0,NA,"f",NA
934,"19/09/2015","N/A","f",1,"t","Ryde",-33.79201,151.08715,"Private room",2,1,1,"$421.00",1,100,29,25,0,4.2,"t",0.22
5941,"9/04/2018","within an hour","t",1,"t","Camden",-33.99135,150.7515,"Entire home/apt",5,1,2,"$120.00",1,180,14,165,2,4.87,"f",4.43
7662,"26/12/2019","N/A","t",1,"t","Pittwater",-33.65769756,151.3092779,"Entire home/apt",7,4,4,"$950.00",7,90,0,3,0,5,"f",0.17
1864,"2/06/2016","N/A","f",4,"t","Bankstown",-33.96373,151.03812,"Private room",1,1,1,"$70.00",90,1125,28,0,0,NA,"t",NA
11772,"23/04/2015","within an hour","t",1,"t","Waverley",-33.889463,151.2811805,"Entire home/apt",4,1,1,"$170.00",2,30,13,61,2,4.92,"f",4.13
14102,"12/02/2016","within an hour","t",21,"t","Warringah",-33.77681158,151.288538,"Entire home/apt",4,1,2,"$271.00",3,90,26,13,1,4.85,"f",1.76
12671,"20/06/2024","within an hour","f",1,"t","Sydney",-33.87761587,151.2139799,"Entire home/apt",2,1,1,"$154.00",2,7,22,38,5,4.66,"f",3.29
5833,"23/10/2015","within an hour","f",5,"t","Woollahra",-33.8752,151.23847,"Entire home/apt",6,2,3,"$456.00",5,365,23,33,0,4.48,"f",0.81
2016,"29/03/2017","within an hour","t",7,"t","The Hills Shire",-33.73765,151.00429,"Entire home/apt",4,1,1,"$124.00",2,360,13,138,3,4.78,"t",1.52
8475,"23/03/2017","N/A","f",1,"f","Sydney",-33.9150405,151.2110639,"Private room",2,1,1,"$160.00",7,120,26,1,0,5,"f",0.04
1632,"15/10/2012","within an hour","",86,"t","Sydney",-33.86905,151.19487,"Entire home/apt",8,1,2,"$161.00",1,1125,7,402,2,4.76,"f",4.01
7427,"24/07/2012","within a few hours","t",126,"t","Pittwater",-33.60559097,151.3302403,"Entire home/apt",11,4.5,6,"$1,559.00",1,1125,29,5,0,4.6,"f",0.17
13251,"23/12/2022","within an hour","f",1,"t","Mosman",-33.81766591,151.2347855,"Entire home/apt",8,3,4,"$530.00",1,365,23,26,2,4.35,"f",2.69
9636,"24/07/2015","within an hour","f",22,"t","Randwick",-33.9122167,151.2543384,"Private room",1,1.5,1,"$63.00",2,365,10,25,3,4.84,"f",1.2
5976,"6/01/2016","within an hour","t",12,"t","Liverpool",-33.91362381,150.8270874,"Private room",2,1,1,"$88.00",1,1125,21,88,3,4.83,"f",2.26
14258,"21/01/2024","within an hour","t",31,"t","Parramatta",-33.81421372,151.0539891,"Entire home/apt",8,2,3,"$149.00",1,365,16,56,6,4.88,"f",7.6
4514,"18/12/2019","within an hour","t",25,"t","Sydney",-33.8591,151.20303,"Entire home/apt",8,2,3,"$229.00",1,365,5,172,2,4.85,"f",2.58
17520,"19/12/2023","N/A","f",1,"f","Pittwater",-33.6595,151.32201,"Entire home/apt",4,1,2,"$221.00",2,365,25,0,0,NA,"f",NA
8887,"4/06/2014","within a day","f",0,"t","Mosman",-33.83713764,151.2363085,"Entire home/apt",4,1,2,"$369.00",7,365,28,3,0,5,"f",0.17
2618,"18/08/2014","within an hour","t",2,"t","Sydney",-33.87605,151.22712,"Entire home/apt",4,1,1,"$162.00",2,1125,5,380,1,4.85,"f",4.58
10353,"7/06/2015","within an hour","t",1,"t","Pittwater",-33.63046,151.3364,"Entire home/apt",4,1,2,"$328.00",2,365,0,42,1,4.88,"f",2.28
7605,"22/03/2016","N/A","f",1,"t","Woollahra",-33.88137,151.23009,"Entire home/apt",4,1,2,"$395.00",90,365,0,38,0,4.92,"f",1.29
4033,"5/11/2014","N/A","f",1,"t","Waverley",-33.87986,151.28258,"Entire home/apt",7,NA,4,"",7,21,0,1,0,5,"f",0.13
534,"13/08/2014","within an hour","t",4,"t","Woollahra",-33.88735,151.23573,"Entire home/apt",8,2,4,"$1,090.00",2,40,15,17,0,4.82,"f",0.14
6706,"24/07/2019","N/A","f",912,"t","Waverley",-33.89027,151.27377,"Entire home/apt",2,NA,1,"",2,365,0,20,0,4.35,"t",0.62
14009,"11/07/2021","within an hour","t",28,"t","Waverley",-33.86395,151.28036,"Private room",3,2,1,"$105.00",3,365,0,7,0,5,"f",0.98
10870,"5/12/2013","within an hour","t",64,"t","Leichhardt",-33.86254,151.16693,"Entire home/apt",6,2,3,"$480.00",21,365,13,7,1,4.71,"f",0.44
15548,"25/08/2019","within an hour","f",169,"t","Camden",-34.0330212,150.7760836,"Private room",1,2,1,"$41.00",1,89,8,5,1,4.6,"f",1.23
3129,"11/03/2019","within an hour","f",4,"t","Auburn",-33.84991,151.06324,"Hotel room",2,1,1,"$268.00",1,1125,22,46,0,4.65,"t",0.61
9917,"16/01/2016","within an hour","t",1,"t","Warringah",-33.7745487,151.2802644,"Entire home/apt",4,1,1,"$225.00",2,60,12,49,0,4.96,"f",2.62
4877,"14/10/2013","N/A","f",1,"t","Waverley",-33.88799432,151.2727953,"Entire home/apt",2,1,1,"$240.00",90,1125,29,0,0,NA,"t",NA
12126,"9/12/2012","within a few hours","f",1,"t","Marrickville",-33.9023488,151.1787964,"Entire home/apt",4,1,1,"$222.00",90,365,11,13,1,4.69,"f",1.29
1103,"28/01/2014","N/A","f",1,"t","Pittwater",-33.68008,151.31129,"Entire home/apt",2,1,1,"$260.00",5,12,0,1,0,5,"f",0.06
15545,"25/07/2011","within an hour","f",1,"t","Waverley",-33.8836919,151.2808118,"Entire home/apt",5,2,2,"$360.00",7,365,6,5,0,5,"f",0.95
17790,"11/06/2018","N/A","f",1,"t","Pittwater",-33.6313464,151.335047,"Entire home/apt",4,1,2,"$434.00",2,60,25,0,0,NA,"f",NA
12814,"20/06/2019","N/A","f",53,"t","Sydney",-33.8911037,151.2031417,"Entire home/apt",4,2,2,"$213.00",2,90,0,17,0,4.76,"f",1.61
5540,"2/09/2015","within a few hours","f",1,"t","Waverley",-33.88259,151.27971,"Entire home/apt",6,2,4,"$360.00",5,365,10,47,2,4.83,"f",1.15
1053,"19/10/2015","within an hour","t",11,"t","Warringah",-33.72197,151.29995,"Entire home/apt",6,1,2,"$354.00",3,1080,17,75,1,4.77,"t",0.64
6735,"11/10/2019","within an hour","f",138,"t","Willoughby",-33.82177,151.19579,"Entire home/apt",4,2,2,"$216.00",2,1125,10,50,1,4.7,"f",1.47
3481,"13/05/2014","within an hour","f",55,"t","Sydney",-33.87114,151.20649,"Entire home/apt",2,1,0,"$149.00",90,1125,0,8,0,4.88,"f",0.11
578,"27/02/2012","within a few hours","t",1,"t","Waverley",-33.86442,151.28171,"Entire home/apt",2,1,1,"$418.00",5,730,13,31,0,5,"f",1.63
6657,"5/09/2016","within a few hours","f",1,"t","Leichhardt",-33.8677393,151.1752553,"Entire home/apt",2,1,1,"$170.00",1,365,3,102,1,4.66,"f",3.09
371,"12/12/2011","N/A","f",1,"t","Waverley",-33.89321,151.26078,"Entire home/apt",2,1,1,"$267.00",2,90,12,7,0,4.86,"f",0.06
